DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
2;2;2015;19,11944444;16,50555556;16,26666667;17,33888889;11,89444444;27,34166667;2;;;;;;;;
3;2;2015;16,50555556;16,26666667;17,33888889;11,89444444;27,34166667;25,89444444;3;;;;;;;;
4;2;2015;16,26666667;17,33888889;11,89444444;27,34166667;25,89444444;23,53055556;3;;;;;;;;
5;2;2015;17,33888889;11,89444444;27,34166667;25,89444444;23,53055556;11,44285714;1;;;;;;;;
6;2;2015;11,89444444;27,34166667;25,89444444;23,53055556;11,44285714;10,69583333;3;;;;;;;;
7;2;2015;27,34166667;25,89444444;23,53055556;11,44285714;10,69583333;22,35915493;3;;;;;;;;
8;2;2015;25,89444444;23,53055556;11,44285714;10,69583333;22,35915493;8,997959184;2;;;;;;;;
9;2;2015;23,53055556;11,44285714;10,69583333;22,35915493;8,997959184;15,15211268;6;;;;;;;;
10;2;2015;11,44285714;10,69583333;22,35915493;8,997959184;15,15211268;13,37777778;1;;;;;;;;
11;2;2015;10,69583333;22,35915493;8,997959184;15,15211268;13,37777778;15,44444444;2;;;;;;;;
12;2;2015;22,35915493;8,997959184;15,15211268;13,37777778;15,44444444;25,39027778;2;;;;;;;;
13;2;2015;8,997959184;15,15211268;13,37777778;15,44444444;25,39027778;32,00138889;1;;;;;;;;
14;2;2015;15,15211268;13,37777778;15,44444444;25,39027778;32,00138889;22,79583333;1;;;;;;;;
15;2;2015;13,37777778;15,44444444;25,39027778;32,00138889;22,79583333;32,8;4;;;;;;;;
16;2;2015;15,44444444;25,39027778;32,00138889;22,79583333;32,8;31,77777778;2;;;;;;;;
17;2;2015;25,39027778;32,00138889;22,79583333;32,8;31,77777778;42,56666667;4;;;;;;;;
18;2;2015;32,00138889;22,79583333;32,8;31,77777778;42,56666667;13,82361111;3;;;;;;;;
19;2;2015;22,79583333;32,8;31,77777778;42,56666667;13,82361111;21,50277778;5;;;;;;;;
20;2;2015;32,8;31,77777778;42,56666667;13,82361111;21,50277778;33,18611111;3;;;;;;;;
21;2;2015;31,77777778;42,56666667;13,82361111;21,50277778;33,18611111;21,34583333;4;;;;;;;;
22;2;2015;42,56666667;13,82361111;21,50277778;33,18611111;21,34583333;13,74583333;6;;;;;;;;
23;2;2015;13,82361111;21,50277778;33,18611111;21,34583333;13,74583333;19,20972222;4;;;;;;;;
24;2;2015;21,50277778;33,18611111;21,34583333;13,74583333;19,20972222;30,68194444;4;;;;;;;;
25;2;2015;33,18611111;21,34583333;13,74583333;19,20972222;30,68194444;23,34722222;3;;;;;;;;
26;2;2015;21,34583333;13,74583333;19,20972222;30,68194444;23,34722222;28,99027778;2;;;;;;;;
27;2;2015;13,74583333;19,20972222;30,68194444;23,34722222;28,99027778;23,40416667;1;;;;;;;;
28;2;2015;19,20972222;30,68194444;23,34722222;28,99027778;23,40416667;42,93333333;10;;;;;;;;
1;3;2015;30,68194444;23,34722222;28,99027778;23,40416667;42,93333333;21,68888889;5;;;;;;;;
2;3;2015;23,34722222;28,99027778;23,40416667;42,93333333;21,68888889;35,83877551;4;;;;;;;;
3;3;2015;28,99027778;23,40416667;42,93333333;21,68888889;35,83877551;37,31875;6;;;;;;;;
4;3;2015;23,40416667;42,93333333;21,68888889;35,83877551;37,31875;33,90625;5;;;;;;;;
5;3;2015;42,93333333;21,68888889;35,83877551;37,31875;33,90625;24,8625;2;;;;;;;;
6;3;2015;21,68888889;35,83877551;37,31875;33,90625;24,8625;34,12833333;3;;;;;;;;
7;3;2015;35,83877551;37,31875;33,90625;24,8625;34,12833333;41,87638889;2;;;;;;;;
8;3;2015;37,31875;33,90625;24,8625;34,12833333;41,87638889;31,24305556;3;;;;;;;;
9;3;2015;33,90625;24,8625;34,12833333;41,87638889;31,24305556;51,52361111;4;;;;;;;;
10;3;2015;24,8625;34,12833333;41,87638889;31,24305556;51,52361111;65,36666667;5;;;;;;;;
11;3;2015;34,12833333;41,87638889;31,24305556;51,52361111;65,36666667;36,22638889;10;;;;;;;;
12;3;2015;41,87638889;31,24305556;51,52361111;65,36666667;36,22638889;19,24722222;3;;;;;;;;
13;3;2015;31,24305556;51,52361111;65,36666667;36,22638889;19,24722222;25,05833333;4;;;;;;;;
14;3;2015;51,52361111;65,36666667;36,22638889;19,24722222;25,05833333;33,86666667;4;;;;;;;;
15;3;2015;65,36666667;36,22638889;19,24722222;25,05833333;33,86666667;44,05070423;3;;;;;;;;
16;3;2015;36,22638889;19,24722222;25,05833333;33,86666667;44,05070423;57,25972222;4;;;;;;;;
17;3;2015;19,24722222;25,05833333;33,86666667;44,05070423;57,25972222;49,57916667;3;;;;;;;;
18;3;2015;25,05833333;33,86666667;44,05070423;57,25972222;49,57916667;35,60138889;5;;;;;;;;
19;3;2015;33,86666667;44,05070423;57,25972222;49,57916667;35,60138889;34,21527778;5;;;;;;;;
20;3;2015;44,05070423;57,25972222;49,57916667;35,60138889;34,21527778;32,29722222;2;;;;;;;;
21;3;2015;57,25972222;49,57916667;35,60138889;34,21527778;32,29722222;26,79166667;2;;;;;;;;
22;3;2015;49,57916667;35,60138889;34,21527778;32,29722222;26,79166667;45,50416667;2;;;;;;;;
23;3;2015;35,60138889;34,21527778;32,29722222;26,79166667;45,50416667;44,44027778;11;;;;;;;;
24;3;2015;34,21527778;32,29722222;26,79166667;45,50416667;44,44027778;44,6375;10;;;;;;;;
25;3;2015;32,29722222;26,79166667;45,50416667;44,44027778;44,6375;49,31666667;1;;;;;;;;
26;3;2015;26,79166667;45,50416667;44,44027778;44,6375;49,31666667;55,72083333;1;;;;;;;;
27;3;2015;45,50416667;44,44027778;44,6375;49,31666667;55,72083333;83,3125;1;;;;;;;;
28;3;2015;44,44027778;44,6375;49,31666667;55,72083333;83,3125;54,3;8;;;;;;;;
29;3;2015;44,6375;49,31666667;55,72083333;83,3125;54,3;60,61944444;4;;;;;;;;
30;3;2015;49,31666667;55,72083333;83,3125;54,3;60,61944444;71,51388889;1;;;;;;;;
31;3;2015;55,72083333;83,3125;54,3;60,61944444;71,51388889;62,29305556;7;;;;;;;;
1;4;2015;83,3125;54,3;60,61944444;71,51388889;62,29305556;66,91111111;5;;;;;;;;
2;4;2015;54,3;60,61944444;71,51388889;62,29305556;66,91111111;58,2625;2;;;;;;;;
3;4;2015;60,61944444;71,51388889;62,29305556;66,91111111;58,2625;40,9;3;;;;;;;;
4;4;2015;71,51388889;62,29305556;66,91111111;58,2625;40,9;47,8875;3;;;;;;;;
5;4;2015;62,29305556;66,91111111;58,2625;40,9;47,8875;58,89722222;0;;;;;;;;
6;4;2015;66,91111111;58,2625;40,9;47,8875;58,89722222;76,41805556;3;;;;;;;;
7;4;2015;58,2625;40,9;47,8875;58,89722222;76,41805556;81,09722222;8;;;;;;;;
8;4;2015;40,9;47,8875;58,89722222;76,41805556;81,09722222;54,72916667;3;;;;;;;;
9;4;2015;47,8875;58,89722222;76,41805556;81,09722222;54,72916667;56,03055556;5;;;;;;;;
10;4;2015;58,89722222;76,41805556;81,09722222;54,72916667;56,03055556;65,52676056;4;;;;;;;;
11;4;2015;76,41805556;81,09722222;54,72916667;56,03055556;65,52676056;75,70694444;6;;;;;;;;
12;4;2015;81,09722222;54,72916667;56,03055556;65,52676056;75,70694444;51,97777778;3;;;;;;;;
13;4;2015;54,72916667;56,03055556;65,52676056;75,70694444;51,97777778;44,35416667;4;;;;;;;;
14;4;2015;56,03055556;65,52676056;75,70694444;51,97777778;44,35416667;71,83472222;4;;;;;;;;
15;4;2015;65,52676056;75,70694444;51,97777778;44,35416667;71,83472222;44,85138889;3;;;;;;;;
16;4;2015;75,70694444;51,97777778;44,35416667;71,83472222;44,85138889;42,57777778;4;;;;;;;;
17;4;2015;51,97777778;44,35416667;71,83472222;44,85138889;42,57777778;61,88611111;3;;;;;;;;
18;4;2015;44,35416667;71,83472222;44,85138889;42,57777778;61,88611111;90,30277778;0;;;;;;;;
19;4;2015;71,83472222;44,85138889;42,57777778;61,88611111;90,30277778;91,70694444;2;;;;;;;;
20;4;2015;44,85138889;42,57777778;61,88611111;90,30277778;91,70694444;74,98333333;2;;;;;;;;
21;4;2015;42,57777778;61,88611111;90,30277778;91,70694444;74,98333333;43,21666667;4;;;;;;;;
22;4;2015;61,88611111;90,30277778;91,70694444;74,98333333;43,21666667;36,93611111;4;;;;;;;;
23;4;2015;90,30277778;91,70694444;74,98333333;43,21666667;36,93611111;40,01805556;4;;;;;;;;
24;4;2015;91,70694444;74,98333333;43,21666667;36,93611111;40,01805556;45,30416667;3;;;;;;;;
25;4;2015;74,98333333;43,21666667;36,93611111;40,01805556;45,30416667;55,50277778;2;;;;;;;;
26;4;2015;43,21666667;36,93611111;40,01805556;45,30416667;55,50277778;51,53194444;4;;;;;;;;
27;4;2015;36,93611111;40,01805556;45,30416667;55,50277778;51,53194444;53,09583333;4;;;;;;;;
28;4;2015;40,01805556;45,30416667;55,50277778;51,53194444;53,09583333;49,26666667;5;;;;;;;;
29;4;2015;45,30416667;55,50277778;51,53194444;53,09583333;49,26666667;28,82777778;2;;;;;;;;
30;4;2015;55,50277778;51,53194444;53,09583333;49,26666667;28,82777778;42,65833333;4;;;;;;;;
1;5;2015;51,53194444;53,09583333;49,26666667;28,82777778;42,65833333;43,29166667;4;;;;;;;;
2;5;2015;53,09583333;49,26666667;28,82777778;42,65833333;43,29166667;60,35694444;2;;;;;;;;
3;5;2015;49,26666667;28,82777778;42,65833333;43,29166667;60,35694444;50,42638889;2;;;;;;;;
4;5;2015;28,82777778;42,65833333;43,29166667;60,35694444;50,42638889;42,78055556;3;;;;;;;;
5;5;2015;42,65833333;43,29166667;60,35694444;50,42638889;42,78055556;72,78888889;8;;;;;;;;
6;5;2015;43,29166667;60,35694444;50,42638889;42,78055556;72,78888889;62,02361111;6;;;;;;;;
7;5;2015;60,35694444;50,42638889;42,78055556;72,78888889;62,02361111;80,11388889;1;;;;;;;;
8;5;2015;50,42638889;42,78055556;72,78888889;62,02361111;80,11388889;82,00694444;1;;;;;;;;
9;5;2015;42,78055556;72,78888889;62,02361111;80,11388889;82,00694444;84,75694444;3;;;;;;;;
10;5;2015;72,78888889;62,02361111;80,11388889;82,00694444;84,75694444;75,48055556;0;;;;;;;;
11;5;2015;62,02361111;80,11388889;82,00694444;84,75694444;75,48055556;62,82777778;2;;;;;;;;
12;5;2015;80,11388889;82,00694444;84,75694444;75,48055556;62,82777778;73,77638889;3;;;;;;;;
13;5;2015;82,00694444;84,75694444;75,48055556;62,82777778;73,77638889;72,17361111;5;;;;;;;;
14;5;2015;84,75694444;75,48055556;62,82777778;73,77638889;72,17361111;77,60972222;5;;;;;;;;
15;5;2015;75,48055556;62,82777778;73,77638889;72,17361111;77,60972222;52,03611111;5;;;;;;;;
16;5;2015;62,82777778;73,77638889;72,17361111;77,60972222;52,03611111;52,28333333;3;;;;;;;;
17;5;2015;73,77638889;72,17361111;77,60972222;52,03611111;52,28333333;53,3375;3;;;;;;;;
18;5;2015;72,17361111;77,60972222;52,03611111;52,28333333;53,3375;46,80694444;0;;;;;;;;
19;5;2015;77,60972222;52,03611111;52,28333333;53,3375;46,80694444;70,90138889;4;;;;;;;;
20;5;2015;52,03611111;52,28333333;53,3375;46,80694444;70,90138889;62,73611111;1;;;;;;;;
21;5;2015;52,28333333;53,3375;46,80694444;70,90138889;62,73611111;62,14305556;5;;;;;;;;
22;5;2015;53,3375;46,80694444;70,90138889;62,73611111;62,14305556;59,26666667;4;;;;;;;;
23;5;2015;46,80694444;70,90138889;62,73611111;62,14305556;59,26666667;78,11388889;0;;;;;;;;
24;5;2015;70,90138889;62,73611111;62,14305556;59,26666667;78,11388889;81,00138889;3;;;;;;;;
25;5;2015;62,73611111;62,14305556;59,26666667;78,11388889;81,00138889;89,65833333;4;;;;;;;;
26;5;2015;62,14305556;59,26666667;78,11388889;81,00138889;89,65833333;87,26527778;5;;;;;;;;
27;5;2015;59,26666667;78,11388889;81,00138889;89,65833333;87,26527778;81,40555556;1;;;;;;;;
28;5;2015;78,11388889;81,00138889;89,65833333;87,26527778;81,40555556;78,56666667;4;;;;;;;;
29;5;2015;81,00138889;89,65833333;87,26527778;81,40555556;78,56666667;76,62777778;7;;;;;;;;
30;5;2015;89,65833333;87,26527778;81,40555556;78,56666667;76,62777778;87,62083333;2;;;;;;;;
31;5;2015;87,26527778;81,40555556;78,56666667;76,62777778;87,62083333;102,625;2;;;;;;;;
1;6;2015;81,40555556;78,56666667;76,62777778;87,62083333;102,625;101,7673077;2;;;;;;;;
2;6;2015;78,56666667;76,62777778;87,62083333;102,625;101,7673077;98,32708333;3;;;;;;;;
3;6;2015;76,62777778;87,62083333;102,625;101,7673077;98,32708333;81,60208333;4;;;;;;;;
4;6;2015;87,62083333;102,625;101,7673077;98,32708333;81,60208333;72,43125;6;;;;;;;;
5;6;2015;102,625;101,7673077;98,32708333;81,60208333;72,43125;89,74576271;5;;;;;;;;
6;6;2015;101,7673077;98,32708333;81,60208333;72,43125;89,74576271;77,87222222;4;;;;;;;;
7;6;2015;98,32708333;81,60208333;72,43125;89,74576271;77,87222222;68,68333333;2;;;;;;;;
8;6;2015;81,60208333;72,43125;89,74576271;77,87222222;68,68333333;51,58888889;4;;;;;;;;
9;6;2015;72,43125;89,74576271;77,87222222;68,68333333;51,58888889;41,19027778;2;;;;;;;;
10;6;2015;89,74576271;77,87222222;68,68333333;51,58888889;41,19027778;52,61666667;6;;;;;;;;
11;6;2015;77,87222222;68,68333333;51,58888889;41,19027778;52,61666667;39,83194444;3;;;;;;;;
12;6;2015;68,68333333;51,58888889;41,19027778;52,61666667;39,83194444;59,10138889;5;;;;;;;;
13;6;2015;51,58888889;41,19027778;52,61666667;39,83194444;59,10138889;72,00138889;3;;;;;;;;
14;6;2015;41,19027778;52,61666667;39,83194444;59,10138889;72,00138889;78,22916667;2;;;;;;;;
15;6;2015;52,61666667;39,83194444;59,10138889;72,00138889;78,22916667;85,40555556;4;;;;;;;;
16;6;2015;39,83194444;59,10138889;72,00138889;78,22916667;85,40555556;84,04861111;1;;;;;;;;
17;6;2015;59,10138889;72,00138889;78,22916667;85,40555556;84,04861111;73,49722222;6;;;;;;;;
18;6;2015;72,00138889;78,22916667;85,40555556;84,04861111;73,49722222;57,1375;6;;;;;;;;
19;6;2015;78,22916667;85,40555556;84,04861111;73,49722222;57,1375;79,90138889;4;;;;;;;;
20;6;2015;85,40555556;84,04861111;73,49722222;57,1375;79,90138889;74,50416667;2;;;;;;;;
21;6;2015;84,04861111;73,49722222;57,1375;79,90138889;74,50416667;88,38333333;2;;;;;;;;
22;6;2015;73,49722222;57,1375;79,90138889;74,50416667;88,38333333;107,25;3;;;;;;;;
23;6;2015;57,1375;79,90138889;74,50416667;88,38333333;107,25;115,6944444;2;;;;;;;;
24;6;2015;79,90138889;74,50416667;88,38333333;107,25;115,6944444;94,75;4;;;;;;;;
25;6;2015;74,50416667;88,38333333;107,25;115,6944444;94,75;93,82222222;1;;;;;;;;
26;6;2015;88,38333333;107,25;115,6944444;94,75;93,82222222;103,3236111;3;;;;;;;;
27;6;2015;107,25;115,6944444;94,75;93,82222222;103,3236111;103,6722222;2;;;;;;;;
28;6;2015;115,6944444;94,75;93,82222222;103,3236111;103,6722222;105,9194444;3;;;;;;;;
29;6;2015;94,75;93,82222222;103,3236111;103,6722222;105,9194444;105,2763889;4;;;;;;;;
30;6;2015;93,82222222;103,3236111;103,6722222;105,9194444;105,2763889;106,7629032;9;;;;;;;;
1;7;2015;103,3236111;103,6722222;105,9194444;105,2763889;106,7629032;85,85;5;;;;;;;;
2;7;2015;103,6722222;105,9194444;105,2763889;106,7629032;85,85;93,85625;0;;;;;;;;
3;7;2015;105,9194444;105,2763889;106,7629032;85,85;93,85625;79,76071429;2;;;;;;;;
4;7;2015;105,2763889;106,7629032;85,85;93,85625;79,76071429;81,35416667;4;;;;;;;;
5;7;2015;106,7629032;85,85;93,85625;79,76071429;81,35416667;85,98611111;2;;;;;;;;
6;7;2015;85,85;93,85625;79,76071429;81,35416667;85,98611111;104,4541667;4;;;;;;;;
7;7;2015;93,85625;79,76071429;81,35416667;85,98611111;104,4541667;124,9027778;6;;;;;;;;
8;7;2015;79,76071429;81,35416667;85,98611111;104,4541667;124,9027778;94,76388889;3;;;;;;;;
9;7;2015;81,35416667;85,98611111;104,4541667;124,9027778;94,76388889;108,5444444;4;;;;;;;;
10;7;2015;85,98611111;104,4541667;124,9027778;94,76388889;108,5444444;104,14;6;;;;;;;;
11;7;2015;104,4541667;124,9027778;94,76388889;108,5444444;104,14;102,9138889;2;;;;;;;;
12;7;2015;124,9027778;94,76388889;108,5444444;104,14;102,9138889;89,12638889;3;;;;;;;;
13;7;2015;94,76388889;108,5444444;104,14;102,9138889;89,12638889;95,39722222;1;;;;;;;;
14;7;2015;108,5444444;104,14;102,9138889;89,12638889;95,39722222;81,9625;1;;;;;;;;
15;7;2015;104,14;102,9138889;89,12638889;95,39722222;81,9625;88,74545455;5;;;;;;;;
16;7;2015;102,9138889;89,12638889;95,39722222;81,9625;88,74545455;91,89393939;2;;;;;;;;
17;7;2015;89,12638889;95,39722222;81,9625;88,74545455;91,89393939;106,1671642;4;;;;;;;;
18;7;2015;95,39722222;81,9625;88,74545455;91,89393939;106,1671642;89,37368421;2;;;;;;;;
19;7;2015;81,9625;88,74545455;91,89393939;106,1671642;89,37368421;105,9541667;3;;;;;;;;
20;7;2015;88,74545455;91,89393939;106,1671642;89,37368421;105,9541667;89,99375;2;;;;;;;;
21;7;2015;91,89393939;106,1671642;89,37368421;105,9541667;89,99375;83,65625;4;;;;;;;;
22;7;2015;106,1671642;89,37368421;105,9541667;89,99375;83,65625;91,27083333;3;;;;;;;;
23;7;2015;89,37368421;105,9541667;89,99375;83,65625;91,27083333;85,70833333;2;;;;;;;;
24;7;2015;105,9541667;89,99375;83,65625;91,27083333;85,70833333;88,02291667;2;;;;;;;;
25;7;2015;89,99375;83,65625;91,27083333;85,70833333;88,02291667;75,58333333;0;;;;;;;;
26;7;2015;83,65625;91,27083333;85,70833333;88,02291667;75,58333333;75,92459016;1;;;;;;;;
27;7;2015;91,27083333;85,70833333;88,02291667;75,58333333;75,92459016;60,43194444;4;;;;;;;;
28;7;2015;85,70833333;88,02291667;75,58333333;75,92459016;60,43194444;66,94722222;0;;;;;;;;
29;7;2015;88,02291667;75,58333333;75,92459016;60,43194444;66,94722222;86,475;4;;;;;;;;
30;7;2015;75,58333333;75,92459016;60,43194444;66,94722222;86,475;94,79166667;3;;;;;;;;
31;7;2015;75,92459016;60,43194444;66,94722222;86,475;94,79166667;96,53055556;4;;;;;;;;
1;8;2015;60,43194444;66,94722222;86,475;94,79166667;96,53055556;102,4722222;9;;;;;;;;
2;8;2015;66,94722222;86,475;94,79166667;96,53055556;102,4722222;105,126087;1;;;;;;;;
3;8;2015;86,475;94,79166667;96,53055556;102,4722222;105,126087;101,8222222;1;;;;;;;;
4;8;2015;94,79166667;96,53055556;102,4722222;105,126087;101,8222222;94,13472222;3;;;;;;;;
5;8;2015;96,53055556;102,4722222;105,126087;101,8222222;94,13472222;72,40612245;3;;;;;;;;
6;8;2015;102,4722222;105,126087;101,8222222;94,13472222;72,40612245;73,71525424;2;;;;;;;;
7;8;2015;105,126087;101,8222222;94,13472222;72,40612245;73,71525424;79,97638889;1;;;;;;;;
8;8;2015;101,8222222;94,13472222;72,40612245;73,71525424;79,97638889;98,19583333;2;;;;;;;;
9;8;2015;94,13472222;72,40612245;73,71525424;79,97638889;98,19583333;75,16111111;2;;;;;;;;
10;8;2015;72,40612245;73,71525424;79,97638889;98,19583333;75,16111111;49,65416667;1;;;;;;;;
11;8;2015;73,71525424;79,97638889;98,19583333;75,16111111;49,65416667;53,26111111;4;;;;;;;;
12;8;2015;79,97638889;98,19583333;75,16111111;49,65416667;53,26111111;61,02083333;2;;;;;;;;
13;8;2015;98,19583333;75,16111111;49,65416667;53,26111111;61,02083333;65,20555556;1;;;;;;;;
14;8;2015;75,16111111;49,65416667;53,26111111;61,02083333;65,20555556;65,83521127;0;;;;;;;;
15;8;2015;49,65416667;53,26111111;61,02083333;65,20555556;65,83521127;61,72638889;4;;;;;;;;
16;8;2015;53,26111111;61,02083333;65,20555556;65,83521127;61,72638889;73,19166667;0;;;;;;;;
17;8;2015;61,02083333;65,20555556;65,83521127;61,72638889;73,19166667;78,79305556;4;;;;;;;;
18;8;2015;65,20555556;65,83521127;61,72638889;73,19166667;78,79305556;69,90833333;1;;;;;;;;
19;8;2015;65,83521127;61,72638889;73,19166667;78,79305556;69,90833333;42,99583333;4;;;;;;;;
20;8;2015;61,72638889;73,19166667;78,79305556;69,90833333;42,99583333;47,54444444;4;;;;;;;;
21;8;2015;73,19166667;78,79305556;69,90833333;42,99583333;47,54444444;53,82638889;2;;;;;;;;
22;8;2015;78,79305556;69,90833333;42,99583333;47,54444444;53,82638889;65,24444444;3;;;;;;;;
23;8;2015;69,90833333;42,99583333;47,54444444;53,82638889;65,24444444;67,10833333;4;;;;;;;;
24;8;2015;42,99583333;47,54444444;53,82638889;65,24444444;67,10833333;82,725;1;;;;;;;;
25;8;2015;47,54444444;53,82638889;65,24444444;67,10833333;82,725;81,20694444;0;;;;;;;;
26;8;2015;53,82638889;65,24444444;67,10833333;82,725;81,20694444;64,94027778;1;;;;;;;;
27;8;2015;65,24444444;67,10833333;82,725;81,20694444;64,94027778;70,68125;2;;;;;;;;
28;8;2015;67,10833333;82,725;81,20694444;64,94027778;70,68125;63,23541667;4;;;;;;;;
29;8;2015;82,725;81,20694444;64,94027778;70,68125;63,23541667;64,81578947;2;;;;;;;;
30;8;2015;81,20694444;64,94027778;70,68125;63,23541667;64,81578947;62,66229508;0;;;;;;;;
31;8;2015;64,94027778;70,68125;63,23541667;64,81578947;62,66229508;63,41041667;5;;;;;;;;
1;9;2015;70,68125;63,23541667;64,81578947;62,66229508;63,41041667;61,61041667;2;;;;;;;;
2;9;2015;63,23541667;64,81578947;62,66229508;63,41041667;61,61041667;49,16875;4;;;;;;;;
3;9;2015;64,81578947;62,66229508;63,41041667;61,61041667;49,16875;52,51458333;3;;;;;;;;
4;9;2015;62,66229508;63,41041667;61,61041667;49,16875;52,51458333;52,49791667;5;;;;;;;;
5;9;2015;63,41041667;61,61041667;49,16875;52,51458333;52,49791667;60,91666667;1;;;;;;;;
6;9;2015;61,61041667;49,16875;52,51458333;52,49791667;60,91666667;60,86041667;2;;;;;;;;
7;9;2015;49,16875;52,51458333;52,49791667;60,91666667;60,86041667;47,375;2;;;;;;;;
8;9;2015;52,51458333;52,49791667;60,91666667;60,86041667;47,375;45,54166667;1;;;;;;;;
9;9;2015;52,49791667;60,91666667;60,86041667;47,375;45,54166667;40,43125;2;;;;;;;;
10;9;2015;60,91666667;60,86041667;47,375;45,54166667;40,43125;31,625;2;;;;;;;;
11;9;2015;60,86041667;47,375;45,54166667;40,43125;31,625;10,54791667;5;;;;;;;;
12;9;2015;47,375;45,54166667;40,43125;31,625;10,54791667;27,14210526;6;;;;;;;;
13;9;2015;45,54166667;40,43125;31,625;10,54791667;27,14210526;32,69861111;3;;;;;;;;
14;9;2015;40,43125;31,625;10,54791667;27,14210526;32,69861111;45,76527778;4;;;;;;;;
15;9;2015;31,625;10,54791667;27,14210526;32,69861111;45,76527778;46,90972222;3;;;;;;;;
16;9;2015;10,54791667;27,14210526;32,69861111;45,76527778;46,90972222;37,80972222;3;;;;;;;;
17;9;2015;27,14210526;32,69861111;45,76527778;46,90972222;37,80972222;48,84647887;6;;;;;;;;
18;9;2015;32,69861111;45,76527778;46,90972222;37,80972222;48,84647887;37,76111111;3;;;;;;;;
19;9;2015;45,76527778;46,90972222;37,80972222;48,84647887;37,76111111;20,15555556;3;;;;;;;;
20;9;2015;46,90972222;37,80972222;48,84647887;37,76111111;20,15555556;18,56388889;4;;;;;;;;
21;9;2015;37,80972222;48,84647887;37,76111111;20,15555556;18,56388889;42,03888889;5;;;;;;;;
22;9;2015;48,84647887;37,76111111;20,15555556;18,56388889;42,03888889;44,22083333;4;;;;;;;;
23;9;2015;37,76111111;20,15555556;18,56388889;42,03888889;44,22083333;43,64366197;3;;;;;;;;
